|3||"ALSE2"|"Alnus serrulata"|"hazel alder"|"12574696"|"71167011"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574696"|"71167027"
|9||"BENI"|"Betula nigra"|"river birch"|"12574696"|"71167037"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574696"|"71167061"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"12574696"|"71167076"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574696"|"71167089"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574696"|"71167165"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574696"|"71167181"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574696"|"71167196"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574696"|"71167202"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574696"|"71167275"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574696"|"71167313"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574696"|"71167361"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574696"|"71167366"
|5||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574696"|"71167411"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574696"|"71167422"
|12||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574696"|"71167623"
|12||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574696"|"71167638"
|9||"QUBI"|"Quercus bicolor"|"swamp white oak"|"12574696"|"71167688"
|5||"QUIM"|"Quercus imbricaria"|"Shingle oak"|"12574696"|"71167693"
|12||"QUPA2"|"Quercus palustris"|"pin oak"|"12574696"|"71167724"
|2||"SANIC4"|"Sambucus nigra subsp. canadensis"|"common elderberry"|"12574696"|"71167788"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574696"|"71167823"
|5||"THOC2"|"Thuja occidentalis"|"northern white-cedar"|"12574696"|"71167831"
|2||"VACO"|"Vaccinium corymbosum"|"highbush blueberry"|"12574696"|"71167879"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574696"|"71167907"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"12574696"|"71167928"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574273"|"71152103"
|3||"ALSE2"|"Alnus serrulata"|"hazel alder"|"12574273"|"71152326"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574273"|"71152731"
|9||"BENI"|"Betula nigra"|"river birch"|"12574273"|"71152999"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574273"|"71153318"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574273"|"71153319"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"12574273"|"71153695"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574273"|"71153896"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574273"|"71154461"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574273"|"71154840"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574273"|"71155106"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574273"|"71155425"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574273"|"71155782"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574273"|"71156266"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574273"|"71157096"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574273"|"71157291"
|5||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574273"|"71157676"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574273"|"71158007"
|12||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574273"|"71158796"
|12||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574273"|"71159187"
|9||"QUBI"|"Quercus bicolor"|"swamp white oak"|"12574273"|"71160180"
|5||"QUIM"|"Quercus imbricaria"|"Shingle oak"|"12574273"|"71160398"
|12||"QUPA2"|"Quercus palustris"|"pin oak"|"12574273"|"71160834"
|2||"SANIC4"|"Sambucus nigra subsp. canadensis"|"common elderberry"|"12574273"|"71161448"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574273"|"71161990"
|2||"VACO"|"Vaccinium corymbosum"|"highbush blueberry"|"12574273"|"71162389"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574273"|"71162884"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"12574273"|"71163275"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574272"|"71152114"
|3||"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"12574272"|"71152506"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574272"|"71152730"
|3||"ASTR"|"Asimina triloba"|"common pawpaw"|"12574272"|"71152924"
|5||"CAIL2"|"Carya illinoinensis"|"pecan"|"12574272"|"71153171"
|9||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574272"|"71153317"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574272"|"71153895"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574272"|"71154460"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574272"|"71155117"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574272"|"71155424"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574272"|"71155781"
|5||"DIVI5"|"Diospyros virginiana"|"common persimmon"|"12574272"|"71155984"
|3||"HAMAM"|"Hamamelis"|"witchhazel"|"12574272"|"71156074"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574272"|"71156265"
|2||"JUCO6"|"Juniperus communis"|"common juniper"|"12574272"|"71156571"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"12574272"|"71156858"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574272"|"71157095"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574272"|"71157290"
|3||"MAIO"|"Malus ioensis"|"prairie crabapple"|"12574272"|"71157447"
|9||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574272"|"71157675"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574272"|"71158006"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"12574272"|"71158281"
|5||"PINI"|"Pinus nigra"|"Austrian pine"|"12574272"|"71158446"
|5||"PIPU"|"Picea pungens"|"blue spruce"|"12574272"|"71158513"
